Takım Adı: Varol, Puanı: 0 
Takım Adı: APT06, Puanı: 0 
Takım Adı: PerSisTence, Puanı: 0 
Takım Adı: CyberOrcik, Puanı: 0 
Takım Adı: 0x6874, Puanı: 0 
Takım Adı: help2fenrir, Puanı: 0 
Takım Adı: Team of Freshman, Puanı: 0 
Takım Adı: Bireysel, Puanı: 0 
Takım Adı: JustMe, Puanı: 225 
Takım Adı: lahmacun, Puanı: 960 
Takım Adı: Cymer, Puanı: 0 
Takım Adı: Nano, Puanı: 0 
Takım Adı: çıkınçıkıngelin, Puanı: 0 
Takım Adı: s3nt1n3ll3r, Puanı: 0 
Takım Adı: JOPER, Puanı: 0 
Takım Adı: Düzensizler, Puanı: 0 
Takım Adı: justme, Puanı: 0 
Takım Adı: YouWillNeverWalkAlone, Puanı: 0 
Takım Adı: DePiedra, Puanı: 0 
Takım Adı: Just Team Name, Puanı: 510 
Takım Adı: SpaceSec, Puanı: 350 
Takım Adı: bbandqq, Puanı: 0 
Takım Adı: TheOrion, Puanı: 0 
Takım Adı: beypazari, Puanı: 0 
Takım Adı: TEAM, Puanı: 125 
Takım Adı: TrabzonSpor, Puanı: 0 
Takım Adı: Fight4Flag, Puanı: 125 
Takım Adı: p4l, Puanı: 0 
Takım Adı: null, Puanı: 410 
Takım Adı: DEF, Puanı: 0 
Takım Adı: 3rk1n, Puanı: 0 
Takım Adı: BortecineSec, Puanı: 660 
Takım Adı: f2u0a0d3, Puanı: 250 
Takım Adı: memnunedemiorzu, Puanı: 0 
Takım Adı: hackreal, Puanı: 0 
Takım Adı: Kartal, Puanı: 0 
Takım Adı: LeaderZone, Puanı: 0 
Takım Adı: Deneme, Puanı: 0 
Takım Adı: Kedi, Puanı: 0 
Takım Adı: bentek, Puanı: 0 
Takım Adı: Zehra, Puanı: 0 
Takım Adı: serengeti, Puanı: 0 
Takım Adı: InAction, Puanı: 0 
Takım Adı: IPX, Puanı: 0 
Takım Adı: DRACULA, Puanı: 0 
Takım Adı: karidesler, Puanı: 390 
Takım Adı: LonelyAndTired, Puanı: 0 
Takım Adı: zknfspietupkpjyaym@uivvn.net, Puanı: 0 
Takım Adı: The Suspect, Puanı: 0 
Takım Adı: AK1NC1LAR, Puanı: 0 
Takım Adı: Roasted Sunflower Seeds (Extra Salted), Puanı: 0 
Takım Adı: howdoweexitvim, Puanı: 560 
Takım Adı: asassa, Puanı: 0 
Takım Adı: N00b101, Puanı: 0 
Takım Adı: Mamba, Puanı: 0 
Takım Adı: Vesaire, Puanı: 0 
Takım Adı: fu11m00n, Puanı: 0 
Takım Adı: Bitirim Kardeşler, Puanı: 0 
Takım Adı: malwcur, Puanı: 0 
Takım Adı: Securitybootcamp, Puanı: 0 
Takım Adı: hellofblack, Puanı: 510 
Takım Adı: Protectors, Puanı: 195 
Takım Adı: DesmondHume, Puanı: 0 
Takım Adı: asgard team, Puanı: 0 
Takım Adı: Krypton, Puanı: 0 
Takım Adı: DADAŞLAR, Puanı: 0 
Takım Adı: SockPuppets, Puanı: 0 
Takım Adı: Assistant Hackers, Puanı: 0 
Takım Adı: taj, Puanı: 0 
Takım Adı: youWillNeverWalkAlone, Puanı: 0 
Takım Adı: BAYBARS, Puanı: 0 
Takım Adı: MGR, Puanı: 0 
Takım Adı: Takım, Puanı: 0 
Takım Adı: Öylesinebirtakım, Puanı: 0 
Takım Adı: xyz, Puanı: 0 
Takım Adı: 1873xxx, Puanı: 0 
Takım Adı: what-the-shell, Puanı: 100 
Takım Adı: kexpo, Puanı: 385 
Takım Adı: Electron, Puanı: 0 
Takım Adı: ZoomEye, Puanı: 0 
